Name,Sex,Age,Height,Weight,Birthdate
Alfred,M,14,69,112.5,16370
Alice,F,13,56.5,84,16756
Barbara,F,13,65.3,98,16451
Carol,F,14,62.8,102.5,16256
Henry,M,14,63.5,102.5,16406
James,M,12,57.3,83,16967
Jane,F,12,59.8,84.5,16873
Janet,F,15,62.5,112.5,15797
Jeffrey,M,13,62.5,84,16552
John,M,12,59,99.5,17036
Joyce,F,11,51.3,50.5,17169
Judy,F,14,64.3,90,16410
Louise,F,12,56.3,77,17021
Mary,F,15,66.5,112,15790
Philip,M,16,72,150,15665
Robert,M,12,64.8,128,16958
Ronald,M,15,67,133,15992
Thomas,M,11,57.5,85,17243
William,M,15,66.5,112,16067
